取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260405211138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2A6574A75FC4F0E97478F68E0682BE5,"ジャパニーズウイスキー","山崎12年",3500,1
RB0120260405211138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2A6574A75FC4F0E97478F68E0682BE5,"ジャパニーズウイスキー","余市",1800,1
RB0120260405211138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2A6574A75FC4F0E97478F68E0682BE5,"JAPANESE COCKTAIL","焙煎ファッションド",1900,1
RB0120260405211138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2A6574A75FC4F0E97478F68E0682BE5,"JAPANESE COCKTAIL","撫子ネグローニ",1900,1
RB0120260406180508000,2026/04/06,18:35:22,18200,18200,1654,0,18200,1654,0,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,00:30:13,"E","大泉",7B1997CD04E14B98879A22A78C7C620C,"ワイン（グラス）","スパークリング",1200,2
RB0120260406180508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B1997CD04E14B98879A22A78C7C620C,"その他","tablecharge",600,6
RB0120260406180508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B1997CD04E14B98879A22A78C7C620C,"ソフトドリンク","コーラ",800,1
RB0120260406180508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B1997CD04E14B98879A22A78C7C620C,"ソフトドリンク","ソフトドリンク",800,1
RB0120260406180508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B1997CD04E14B98879A22A78C7C620C,"NEW CLASSIC COCKTAIL","オリエンタルアフタヌーン",1500,2
RB0120260406180508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B1997CD04E14B98879A22A78C7C620C,"JAPANESE COCKTAIL","焙煎ファッションド",1900,1
RB0120260406180508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B1997CD04E14B98879A22A78C7C620C,"JAPANESE COCKTAIL","ゆずマティーニ",1900,2
RB0120260406180508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B1997CD04E14B98879A22A78C7C620C,"JAPANESE COCKTAIL","シルキー麹サワー",1900,1
